trip_id,driver_id,timestamp,rating,sentiment_label,complaint_topic,feedback_text
TRN-TRIP-013,D001,3582050,3,neutral,consistency,Trip was acceptable. Trip label was normal with violation score 57.14. There is room for improvement.
TRN-TRIP-037,D001,3582916,2,negative,aggressive_behavior,Driver was too aggressive. Trip label was aggressive with violation score 91.56. The driving needs attention.
TRN-TRIP-043,D001,3583188,4,positive,safe_driving,Ride felt safe. Trip label was slow with violation score 18.58. No major issues noticed.
TRN-TRIP-061,D001,3583791,4,positive,safe_driving,Trip was comfortable. Trip label was slow with violation score 44.57. The trip felt calm and controlled.
TST-TRIP-001,D001,818954,2,negative,aggressive_behavior,Trip felt unsafe. Trip label was aggressive with violation score 72.46. Please coach this driver.
TST-TRIP-043,D001,820436,4,positive,safe_driving,Driver was professional. Trip label was slow with violation score 19.88. Very steady handling.
TRN-TRIP-014,D002,3582082,4,positive,safe_driving,Ride felt safe. Trip label was normal with violation score 28.79. No major issues noticed.
TRN-TRIP-038,D002,3582948,2,negative,aggressive_behavior,Braking felt too harsh. Trip label was aggressive with violation score 74.51. I noticed risky maneuvering during the trip.
TRN-TRIP-044,D002,3583220,4,positive,safe_driving,Smooth trip overall. Trip label was slow with violation score 19.68. I would ride again.
TST-TRIP-002,D002,818986,2,negative,aggressive_behavior,Driver was too aggressive. Trip label was aggressive with violation score 70.07. The driving needs attention.
TST-TRIP-044,D002,820469,4,positive,safe_driving,Ride felt safe. Trip label was slow with violation score 20.89. No major issues noticed.
TRN-TRIP-015,D003,3582114,4,positive,safe_driving,Trip was comfortable. Trip label was normal with violation score 43.31. The trip felt calm and controlled.
TRN-TRIP-021,D003,3582398,2,negative,aggressive_behavior,Trip felt unsafe. Trip label was aggressive with violation score 80.08. Please coach this driver.
TRN-TRIP-039,D003,3583058,2,negative,aggressive_behavior,Driver was too aggressive. Trip label was aggressive with violation score 91.60. The driving needs attention.
TRN-TRIP-045,D003,3583253,4,positive,safe_driving,Ride felt safe. Trip label was slow with violation score 28.02. No major issues noticed.
TST-TRIP-003,D003,819019,2,negative,aggressive_behavior,Braking felt too harsh. Trip label was aggressive with violation score 74.77. I noticed risky maneuvering during the trip.
TST-TRIP-015,D003,819486,4,positive,safe_driving,Smooth trip overall. Trip label was normal with violation score 35.72. I would ride again.
TST-TRIP-045,D003,820501,4,positive,safe_driving,Driver was professional. Trip label was slow with violation score 25.26. Very steady handling.
TRN-TRIP-016,D004,3582147,4,positive,safe_driving,Ride felt safe. Trip label was normal with violation score 41.45. No major issues noticed.
TRN-TRIP-022,D004,3582430,2,negative,aggressive_behavior,Braking felt too harsh. Trip label was aggressive with violation score 95.09. I noticed risky maneuvering during the trip.
TRN-TRIP-046,D004,3583285,4,positive,safe_driving,Smooth trip overall. Trip label was slow with violation score 19.77. I would ride again.
TST-TRIP-004,D004,819051,2,negative,aggressive_behavior,Driver was too aggressive. Trip label was aggressive with violation score 94.36. The driving needs attention.
TST-TRIP-016,D004,819518,4,positive,safe_driving,Ride felt safe. Trip label was normal with violation score 40.41. No major issues noticed.
TST-TRIP-046,D004,820534,4,positive,safe_driving,Trip was comfortable. Trip label was slow with violation score 21.87. The trip felt calm and controlled.
TRN-TRIP-017,D005,3582179,4,positive,safe_driving,Smooth trip overall. Trip label was normal with violation score 39.36. I would ride again.
TRN-TRIP-023,D005,3582462,2,negative,aggressive_behavior,Driver was too aggressive. Trip label was aggressive with violation score 70.26. The driving needs attention.
TRN-TRIP-047,D005,3583317,4,positive,safe_driving,Ride felt safe. Trip label was slow with violation score 21.24. No major issues noticed.
TST-TRIP-005,D005,819084,1,negative,aggressive_behavior,Braking felt too harsh. Trip label was aggressive with violation score 106.46. I noticed risky maneuvering during the trip.
TST-TRIP-017,D005,819551,3,neutral,consistency,Trip was acceptable. Trip label was normal with violation score 52.67. There is room for improvement.
TST-TRIP-047,D005,820566,4,positive,safe_driving,Driver was professional. Trip label was slow with violation score 32.24. Very steady handling.
TRN-TRIP-018,D006,3582212,3,neutral,consistency,Ride was average. Trip label was normal with violation score 50.70. The ride was not bad but not great.
TRN-TRIP-024,D006,3582495,3,neutral,consistency,Some parts were fine. Trip label was aggressive with violation score 63.08. Some sharper turns were noticeable.
TRN-TRIP-048,D006,3583379,4,positive,safe_driving,Smooth trip overall. Trip label was slow with violation score 22.16. I would ride again.
TST-TRIP-006,D006,819116,2,negative,aggressive_behavior,Driver was too aggressive. Trip label was aggressive with violation score 83.15. The driving needs attention.
TST-TRIP-018,D006,819583,3,neutral,consistency,Ride was average. Trip label was normal with violation score 66.29. The ride was not bad but not great.
TST-TRIP-048,D006,820598,4,positive,safe_driving,Trip was comfortable. Trip label was slow with violation score 26.28. The trip felt calm and controlled.
TRN-TRIP-001,D007,3581661,4,positive,safe_driving,Smooth trip overall. Trip label was normal with violation score 29.77. I would ride again.
TRN-TRIP-019,D007,3582244,4,positive,safe_driving,Driver was professional. Trip label was normal with violation score 32.88. Very steady handling.
TRN-TRIP-025,D007,3582527,2,negative,aggressive_behavior,Ride was uncomfortable. Trip label was aggressive with violation score 73.33. Frequent sudden motions were worrying.
TRN-TRIP-049,D007,3583411,4,positive,safe_driving,Trip was comfortable. Trip label was slow with violation score 20.00. The trip felt calm and controlled.
TST-TRIP-007,D007,819148,2,negative,aggressive_behavior,Trip felt unsafe. Trip label was aggressive with violation score 71.06. Please coach this driver.
TST-TRIP-019,D007,819615,3,neutral,consistency,Driver was okay. Trip label was normal with violation score 60.06. A bit more consistency would help.
TST-TRIP-031,D007,820048,4,positive,safe_driving,Ride felt safe. Trip label was slow with violation score 42.68. No major issues noticed.
TST-TRIP-049,D007,820631,5,positive,safe_driving,Trip was comfortable. Trip label was slow with violation score 14.58. The trip felt calm and controlled.
TRN-TRIP-002,D008,3581693,4,positive,safe_driving,Smooth trip overall. Trip label was normal with violation score 40.33. I would ride again.
TRN-TRIP-020,D008,3582276,3,neutral,consistency,Driver was okay. Trip label was normal with violation score 55.07. A bit more consistency would help.
TRN-TRIP-026,D008,3582560,3,neutral,consistency,Ride was average. Trip label was aggressive with violation score 67.13. The ride was not bad but not great.
TRN-TRIP-050,D008,3583444,4,positive,safe_driving,Trip was comfortable. Trip label was slow with violation score 39.40. The trip felt calm and controlled.
TST-TRIP-008,D008,819181,3,neutral,consistency,Trip was acceptable. Trip label was aggressive with violation score 60.61. There is room for improvement.
TST-TRIP-020,D008,819648,3,neutral,consistency,Driver was okay. Trip label was normal with violation score 50.84. A bit more consistency would help.
TST-TRIP-032,D008,820080,4,positive,safe_driving,Ride felt safe. Trip label was slow with violation score 18.68. No major issues noticed.
TST-TRIP-050,D008,820663,5,positive,safe_driving,Trip was comfortable. Trip label was slow with violation score 15.85. The trip felt calm and controlled.
TRN-TRIP-003,D009,3581726,4,positive,safe_driving,Smooth trip overall. Trip label was normal with violation score 38.82. I would ride again.
TRN-TRIP-027,D009,3582592,2,negative,aggressive_behavior,Driver was too aggressive. Trip label was aggressive with violation score 75.20. The driving needs attention.
